brightness_1,brightness_2,gaussian_width_1,gaussian_width_2,gaussian_width_unc_1,gaussian_width_unc_2,int_wv_1,int_wv_2,obs_line_center_1,obs_line_center_2,obs_line_center_unc_1,obs_line_center_unc_2
1.7000534595116162e-17,1.4628521503217926e-12,0.1545180631915435,9.83643785691296,0.04305899478607332,75.72403939326233,1208.85,1211.212,1208.854070520116,1238.3140571233228,0.04025413616433324,427.4975122744035
4.9125782918966263e-08,1.1620248677138763e-08,272.700012455099,-64.50572842303305,inf,inf,1211.212,1211.38,8461.790575893277,6034.8900297022055,inf,inf
4.3893585924232473e-14,5.890743377003832e-12,-1.1321177710900616,5.762231455013573,inf,inf,1211.38,1212.795,1200.7265794639607,1231.6975696301486,inf,inf
3.4010867230139357e-13,1.2854369405513987e-09,0.37317170340644323,-21.875299374367337,0.00836348903389351,964.4491352407581,1212.795,1218.595,1215.493872235546,1282.8518318651927,0.0075106472724786955,5883.497984922878
3.771860258369371e-15,1.4476643671479207e-15,1.2737359695470625,1.90341012190972,0.3188173597021091,0.47087713284382243,1218.595,1224.424,1216.8747940541953,1223.41650106726,0.6454647461254672,0.3374139310622921
-2.4854662981163823e-07,2.5318511787913235e-07,1391.3157821652296,1417.2511008113088,inf,inf,1224.424,1224.479,50231.44476354458,-51703.05679340098,inf,inf
-1.900025839684077e-07,1.9801203573412693e-07,1059.874306098427,1104.528067197101,inf,inf,1224.479,1224.544,32112.027118407335,-34312.269914504155,inf,inf
5.549493099477495e-17,2.2727673190267217e-16,0.23664083962231106,0.5218489367010019,0.032436693497503666,0.05778567447463546,1224.544,1227.089,1224.4915077635837,1227.0232300123605,0.03243641390610023,0.057285640794166925
2.347492677858682e-16,3.3559982754049554e-16,0.5324255670870529,0.3896638806439762,0.061118010782253276,0.01909158308054406,1227.089,1233.922,1227.018289677043,1234.112549327017,0.059680303165448756,0.019017696608064193
3.4192626635511877e-16,1.1286531241648619e-18,0.39441116669588294,0.035692728867494486,0.017167676818146703,0.012804687080262004,1233.922,1241.905,1234.1136220849583,1241.9558745207305,0.017167178047877117,0.012804687192390694
1.128465350930208e-18,1.434281565473725e-16,0.03568877032144191,0.31875380844421,0.011293086197382526,0.021193704909237252,1241.905,1247.16,1241.9558759712706,1247.2222492906583,0.011293086399587428,0.02119338952324342
1.4366955823873348e-16,1.7594310720734963e-11,0.3191075862553162,-17.860911471809253,inf,inf,1247.16,1248.045,1247.2224105891921,1419.5204026435435,inf,inf
1.4188013778359668e-16,1.687398454318987e-15,0.31712605179366493,0.3155578456998734,0.07960034220040661,0.005184364998000732,1248.045,1250.814,1247.2243973859406,1250.6202383684783,0.07129300738241397,0.00518436480509392
1.687691451644063e-15,3.9782059736358106e-15,0.31559323267618755,0.3392209573320871,0.008603725785373382,0.004542187587358144,1250.814,1253.297,1250.620230983726,1253.8376184488914,0.008602551749734788,0.004409572872812879
6.093248310841893e-17,4.062057732227704e-15,0.0983537596266214,0.36095076437741025,0.02187587792029407,0.008829259354281227,1253.297,1253.325,1253.7908754252699,1253.8465914175729,0.015156124414641177,0.006351511049045449
5.326448146081532e-15,-6.477547894277612e-16,0.3803494727941676,0.2783439219098926,0.03954760506020296,0.08979160879521245,1253.325,1256.093,1253.768087965284,1253.3398465812147,0.11171257009986454,0.1268912304168107
7.925649065459699e-16,4.537938069576403e-15,-0.19819624469997962,0.2507598055739328,0.011414985383321224,0.004901008986633141,1256.093,1262.86,1259.9597144810396,1259.4819246889836,0.02011688516922258,0.007978309183822802
1.4537697490953046e-16,5.35673351506243e-15,-0.15534844619844274,0.22309078488136103,inf,inf,1269.209,1270.782,1270.782107013231,1262.8998594699844,inf,inf
1.0695988942360856e-16,7.166911405020757e-15,0.13199177953413174,5.06425054334513,0.004044947140193745,2.9956434965208616,1270.782,1277.199,1270.7800963042114,1269.3725828967843,0.0038636610402750697,4.548900311464648
-4.595757860149436e-09,4.4742036340470034e-09,842.2006243573818,819.8776144235178,inf,inf,1277.199,1277.212,128944.74658465393,-126419.04292571639,inf,inf
-1.641314276928447e-33,1.0534626198834264e-15,0.3472914448454985,0.349045682820521,1.7163891442199642e+16,0.005989937279876677,1280.099,1295.652,1280.3505984580743,1295.698499973639,1.5354109374299788e+16,0.005989740934590026
6.066394930658904e-16,1.1120457432126174e-16,0.25424529398208134,0.18185009622170395,0.016648484303544677,0.032491678328917244,1295.652,1296.174,1295.624184932574,1296.2102670324498,0.018160840188156707,0.03931130258308384
1.057929157914704e-15,5.22493398582668e-15,0.34997461307068484,0.2767048645172337,0.022479747163002044,0.0024858158653138012,1296.174,1302.337,1295.6982944780184,1302.2389688699855,0.022158867386511776,0.002485815834663673
1.4192603833626086e-15,4.685546475570665e-15,0.17779719252508647,0.3914383464776655,0.007870291344471307,0.012991005859900678,1302.337,1302.863,1302.1854949826263,1302.3519190743323,0.0054732122926688075,0.01795129938215497
4.84001173797348e-15,1.374163003798874e-15,0.39616050085007687,0.17574932630022697,0.014866902024799069,0.008650513110094217,1302.863,1303.111,1302.3447958181234,1302.1875713661566,0.0193079879813561,0.006043643764073985
1.0264074899514193e-14,5.37894651422214e-15,0.3135680973488424,0.2815841951843687,0.11309024353020648,0.005041276055714888,1303.111,1303.4295,1305.1354841402201,1302.2368694623592,0.4018711131773782,0.004579644354803271
2.235847500882535e-14,3.491308386985625e-15,0.4927509167573445,-0.25080396543810496,0.06575422407203554,0.008875069178439377,1303.4295,1305.883,1301.8669325271026,1304.9012363705508,0.15505878951307786,0.008875068853241101
