brightness,brightness_unc,gaussian_width,gaussian_width_unc,int_wv,obs_line_center,obs_line_center_unc
-2.103678248378461,0.2499996901724761,0.1063159119385568,0.01827814056902325,1208.85,1208.9897282777974,0.013481665467206628
-18.441230357286358,1329.4784415655295,0.07273588900842888,0.010987105565012341,1211.212,1210.8106348312072,0.3233173692060993
64.45052961630334,1915.2707979821278,0.05483241135443903,0.0014839451423535148,1211.38,1211.370326350088,0.002984549847267835
46.78870520090523,5.993644533204768,0.16895362596226438,0.0046916239402213875,1212.795,1212.9520788303123,0.003644206365149537
52.81303620164474,220.33918476849453,0.03639227498579454,0.001781248233979582,1218.595,1218.6163213383843,0.0006770344409728492
13.499010674144435,0.4316330888995562,0.03674027827482766,0.0002865063768470957,1224.424,1224.4401936690194,0.0005682508085918125
15.95359822908762,0.5746902767362844,0.03668859867657301,0.00029740141629356503,1224.479,1224.4401317075715,0.0006108271844942773
13.32435737070071,0.4202251516334336,0.03675988285522948,0.0002868986365525217,1224.544,1224.440143674045,0.0005734046695446531
8.365049228034737,4.55067530649015,0.11738324639665994,0.1329224069523232,1227.089,1227.0716108690935,0.21093730835997873
9.541019626514982,0.15520688190648663,0.1832374840999424,0.0012573177546251009,1233.922,1234.1097193158387,0.0012362506268582053
0.1845012398038033,0.11869159328206909,0.003673054954435812,0.0025839847446391217,1241.905,1241.6865281684788,0.001758525018744336
0.4548851157191325,0.047917067263164505,0.1456004486704166,0.03433017941731749,1247.16,1246.7930490484014,0.0107304120228765
-2.6796372714566665,0.16852495726750255,0.12146580702921216,0.026792463993978707,1248.045,1248.2494234125988,0.06379270106708841
216.17898545674709,3.792512868299296,0.21484253403054834,0.00037702456752706826,1250.814,1250.6576472159265,0.000808482378229131
184.28846741032552,4.567085702210478,0.27337179592549754,0.0004924638275783819,1253.297,1253.8893452345071,0.0010356755501475762
317.6676977361487,16.787692335609613,0.2731262914330612,0.0005000200397079852,1253.325,1253.8932819003553,0.0010085450955108822
-3.539307736840596,0.4125226400367306,0.17109280739235874,0.044215801318774055,1256.093,1255.8355385656105,0.03205515227408145
1.0447141357083822,0.012872668459347154,0.38143482726227973,0.0063735388837676465,1262.86,1263.2083685917269,0.004113185549373284
1.4555981646374736,0.0673809025351419,0.062257663720331244,0.001658414518424192,1269.209,1269.311385533515,0.0023103007704508806
130.2814835637502,4.450606592525194,0.1329897825123033,0.0014992781735848773,1270.782,1270.856868161837,0.0012366247493336747
1.006720474046277,3.90879001276694,0.20000374664055215,2.006360630552899e-05,1277.199,1277.1989671221372,8.322002212787163e-05
0.895372489758054,7.473509642226073,0.2000024109950411,1.88022303456765e-05,1277.212,1277.2120028357865,8.139371018610098e-05
-0.2734231031029259,5.0683627921915795,0.20000198949073955,2.1795977324322027e-05,1280.099,1280.0989784782582,9.647959416150341e-05
235.85316329588687,5.1664522060805265,0.23420469245116146,0.0004986962297295819,1295.652,1295.74419316431,0.001101921116736216
72.19671851367036,1.9807611188786685,0.24727735768559214,0.0005916498721534199,1296.174,1295.7394486421435,0.0008737203301664026
-16086.983402844253,1361.0614743035383,0.25526894858327326,0.0004940147828725841,1302.337,1302.3204773452728,0.0012212348182841133
10615.680901926175,280123.4709291639,0.29710433386280893,0.001456827772502955,1302.863,1302.288322246363,0.003173005102629634
42.947570896423805,6.684289006672853,0.09155493196601429,0.006583743430606916,1303.111,1303.1559378636791,0.014355063747136205
2.277932043730068,0.6621640850927044,1.0720265424708768,0.33314180407806915,1303.4295,1302.7900421309646,0.3269450389780276
-130.5796960797698,5.04014376189419,0.19317742638179658,0.0005974074464808218,1305.883,1305.9563864397232,0.0011169860431004236
5.953894006341306,1.1279732226803327,2.7422999034352165,0.5682905781420742,1310.194,1308.1456825787996,0.5179938337753631
0.22589327988315963,0.1081668368502066,0.0033000345170534537,0.002209859597866048,1313.249,1313.6389516315078,0.001730506241160792
960.1495393211329,40.97880389273951,0.13823213356413203,0.0004498489479334641,1316.542,1316.577532683963,0.0008950628617268254
944.0726787852694,40.4108510130147,0.1382112356911087,0.0004517831412903896,1316.618,1316.5776124029298,0.0008991523287742386
199.93294089090813,9.19957420572154,0.12609841637014785,0.0011649552500321634,1323.515,1323.5337911968845,0.0016010197160259189
204.5111429804501,9.138426047880897,0.12588401863724757,0.0008440332975128053,1323.522,1323.5335195761547,0.0010372248948370753
1.9629488415079095,0.02807089928648925,0.61011938417247,0.017614857776182623,1326.643,1326.7941566692773,0.006777670224476745
28.789421011657726,0.48559109638726694,0.16946235170999094,0.0008637922487216506,1381.552,1381.6122345722654,0.001762297050343871
2.1810695126879622,0.09622879002931668,0.5950489002160865,0.06725100625490343,1385.51,1385.5502845792248,0.039084079176371
1052.3521891277296,756.0124501699132,0.2347232826314397,0.0007210294353843345,1388.435,1388.7261198034923,0.0018711949045448378
7.100840425534156,3.904200097583577,0.7521005965566423,0.0940510315890095,1389.154,1388.8364047932048,0.1319724897982928
597.1958752305411,27.143171360559936,0.12038360540632269,0.0005233918403790316,1392.588,1392.5342750512004,0.0014743844229423348
133.08611690825828,1.4574146430568753,0.19159744768619583,0.00039490224947852316,1396.112,1396.1623383591198,0.0008242637424266788
38.21241747398694,0.6807635715268188,0.1438451052861003,0.0009852409615357769,1401.514,1401.4605085344697,0.001338298606866329
6.5822757479123295,0.0849422988012078,0.10961737386559699,0.0009294650381691032,1409.337,1409.5651235807727,0.001131853189359033
1.2598455547140337,0.019905878248423423,0.49279048018063376,0.009734228321990035,1412.873,1412.9551717877346,0.004537088983377197
