Wavelength,Species,
1152.151,O I,
1179.293,Cl I,
1188.774,Cl I,
1190.206,S III,
1194.061,S III,
1194.457,S III,
1197.239,O III,
1201.353,Cl I,
1203.861,S II,
1204.335,S II,
1204.735,S II,
1211.212,S I,
1212.795,S I,
1224.424,S I,
1224.479,S I,
1224.544,S I,
